set	path	rc	ms_parallel8	bytes	lines	err
testdata	tsc/testdata/baselines/reference/transpile/noModuleResolution.d.ts	0	35	245	61	
testdata	tsc/testdata/fixtures/compiler/_namespaces/ts.moduleSpecifiers.ts	0	37	111	10	
testdata	tsc/testdata/fixtures/compiler/_namespaces/ts.performance.ts	0	37	101	10	
testdata	tsc/testdata/fixtures/compiler/_namespaces/ts.ts	0	30	3288	556	
testdata	tsc/testdata/fixtures/compiler/binder.ts	0	64	194463	39551	
testdata	tsc/testdata/fixtures/compiler/builder.ts	0	67	116984	30711	
testdata	tsc/testdata/fixtures/compiler/builderPublic.ts	0	30	11523	1838	
testdata	tsc/testdata/fixtures/compiler/builderState.ts	0	43	26090	7386	
testdata	tsc/testdata/fixtures/compiler/builderStatePublic.ts	0	22	382	103	
testdata	tsc/testdata/fixtures/compiler/checker.ts	0	1797	3151774	637369	
testdata	tsc/testdata/fixtures/compiler/commandLineParser.ts	0	98	183461	51136	
testdata	tsc/testdata/fixtures/compiler/core.ts	0	96	92419	37867	
testdata	tsc/testdata/fixtures/compiler/corePublic.ts	0	114	1337	315	
testdata	tsc/testdata/fixtures/compiler/debug.ts	0	159	56593	19474	
testdata	tsc/testdata/fixtures/compiler/diagnosticInformationMap.generated.ts	0	178	579188	66598	
testdata	tsc/testdata/fixtures/compiler/emitter.ts	0	215	273338	66342	
testdata	tsc/testdata/fixtures/compiler/executeCommandLine.ts	0	170	54026	19774	
testdata	tsc/testdata/fixtures/compiler/expressionToTypeNode.ts	0	131	70053	16007	
testdata	tsc/testdata/fixtures/compiler/factory/baseNodeFactory.ts	0	28	2677	733	
testdata	tsc/testdata/fixtures/compiler/factory/emitHelpers.ts	0	48	69094	9665	
testdata	tsc/testdata/fixtures/compiler/factory/emitNode.ts	0	60	12719	4374	
testdata	tsc/testdata/fixtures/compiler/factory/nodeChildren.ts	0	59	2237	807	
testdata	tsc/testdata/fixtures/compiler/factory/nodeConverters.ts	0	58	7205	1623	
testdata	tsc/testdata/fixtures/compiler/factory/nodeFactory.ts	0	149	334930	82915	
testdata	tsc/testdata/fixtures/compiler/factory/nodeTests.ts	0	52	36796	14928	
testdata	tsc/testdata/fixtures/compiler/factory/parenthesizerRules.ts	0	26	34012	5158	
testdata	tsc/testdata/fixtures/compiler/factory/utilities.ts	0	148	76114	22358	
testdata	tsc/testdata/fixtures/compiler/factory/utilitiesPublic.ts	0	65	2101	983	
testdata	tsc/testdata/fixtures/compiler/moduleNameResolver.ts	0	126	181609	50962	
testdata	tsc/testdata/fixtures/compiler/moduleSpecifiers.ts	0	156	79619	21531	
testdata	tsc/testdata/fixtures/compiler/node.d.ts	0	43	1886	746	
testdata	tsc/testdata/fixtures/compiler/parser.ts	0	350	539685	151206	
testdata	tsc/testdata/fixtures/compiler/path.ts	0	91	44162	12081	
testdata	tsc/testdata/fixtures/compiler/performance.ts	0	80	6146	2010	
testdata	tsc/testdata/fixtures/compiler/performanceCore.ts	0	35	3255	781	
testdata	tsc/testdata/fixtures/compiler/program.ts	0	108	270697	62442	
testdata	tsc/testdata/fixtures/compiler/programDiagnostics.ts	0	34	21298	4530	
testdata	tsc/testdata/fixtures/compiler/resolutionCache.ts	0	53	82036	17647	
testdata	tsc/testdata/fixtures/compiler/scanner.ts	0	125	219164	62089	
testdata	tsc/testdata/fixtures/compiler/semver.ts	0	33	17933	6069	
testdata	tsc/testdata/fixtures/compiler/sourcemap.ts	0	35	32104	9083	
testdata	tsc/testdata/fixtures/compiler/symbolWalker.ts	0	19	8177	2100	
testdata	tsc/testdata/fixtures/compiler/sys.ts	0	56	86142	20059	
testdata	tsc/testdata/fixtures/compiler/tracing.ts	0	24	15028	5583	
testdata	tsc/testdata/fixtures/compiler/transformer.ts	0	29	29755	6777	
testdata	tsc/testdata/fixtures/compiler/transformers/classFields.ts	0	94	156326	27926	
testdata	tsc/testdata/fixtures/compiler/transformers/classThis.ts	0	23	5504	1402	
testdata	tsc/testdata/fixtures/compiler/transformers/declarations.ts	0	66	99437	19925	
testdata	tsc/testdata/fixtures/compiler/transformers/declarations/diagnostics.ts	0	51	46162	7885	
testdata	tsc/testdata/fixtures/compiler/transformers/destructuring.ts	0	96	30755	8288	
testdata	tsc/testdata/fixtures/compiler/transformers/es2015.ts	0	182	231365	40203	
testdata	tsc/testdata/fixtures/compiler/transformers/es2016.ts	0	85	4484	1007	
testdata	tsc/testdata/fixtures/compiler/transformers/es2017.ts	0	105	49966	10003	
testdata	tsc/testdata/fixtures/compiler/transformers/es2018.ts	0	133	69751	13088	
testdata	tsc/testdata/fixtures/compiler/transformers/es2019.ts	0	52	1533	432	
testdata	tsc/testdata/fixtures/compiler/transformers/es2020.ts	0	26	13066	2950	
testdata	tsc/testdata/fixtures/compiler/transformers/es2021.ts	0	23	4104	814	
testdata	tsc/testdata/fixtures/compiler/transformers/esDecorators.ts	0	48	126995	23401	
testdata	tsc/testdata/fixtures/compiler/transformers/esnext.ts	0	54	32554	6321	
testdata	tsc/testdata/fixtures/compiler/transformers/generators.ts	0	134	123796	22001	
testdata	tsc/testdata/fixtures/compiler/transformers/jsx.ts	0	63	36065	9355	
testdata	tsc/testdata/fixtures/compiler/transformers/legacyDecorators.ts	0	80	36625	6080	
