path	line	callee	receiver_type	impls_of_pair	class
crates/ide/src/doc_links.rs	548	Url::parse	-norow-	0	10 `T::f()`, T external or an alias
crates/ide/src/doc_links.rs	562	Url::parse	-norow-	0	10 `T::f()`, T external or an alias
crates/ide/src/goto_definition.rs	297	type_of_expr	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide/src/highlight_related.rs	801	entry	FxHashMap	0	3b receiver type undeclared in corpus (std/external)
crates/ide/src/hover/render.rs	1127	as_str	Either	0	3b receiver type undeclared in corpus (std/external)
crates/ide/src/inlay_hints.rs	97	Vec::new	-norow-	0	10 `T::f()`, T external or an alias
crates/ide/src/inlay_hints.rs	604	into	str	0	3b receiver type undeclared in corpus (std/external)
crates/ide/src/inlay_hints/bind_pat.rs	924	check_with_config	-norow-	0	9 free fn / bare name / struct literal
crates/ide/src/inlay_hints/lifetime.rs	483	check_with_config	-norow-	0	9 free fn / bare name / struct literal
crates/ide/src/join_lines.rs	66	text_range	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/join_lines.rs	72	text	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/move_item.rs	133	SyntaxElement::Node	-norow-	0	10 `T::f()`, T external or an alias
crates/ide/src/navigation_target.rs	448	ast::HasName::name	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/ide/src/parent_module.rs	60	crate_def_map	-norow-	0	9 free fn / bare name / struct literal
crates/ide/src/rename.rs	302	token_at_offset	SyntaxNode	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/rename.rs	556	SourceChange::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/signature_help.rs	260	String::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/signature_help.rs	373	String::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/signature_help.rs	582	text_range	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/syntax_highlighting.rs	525	clone	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/ide/src/syntax_highlighting/highlight.rs	411	HlTag::Symbol	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/syntax_highlighting/highlight.rs	535	HlTag::Symbol	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/syntax_highlighting/highlight.rs	623	HlTag::Symbol	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide/src/typing/on_enter.rs	112	text_range	SyntaxToken	0	3a receiver type is a corpus ALIAS to an external type
crates/intern/src/gc.rs	185	erase	RawTable	0	3b receiver type undeclared in corpus (std/external)
crates/intern/src/gc.rs	329	GarbageCollector::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/intern/src/intern.rs	270	std::mem::transmute	-norow-	0	11 module-qualified path `mod::f()`
crates/load-cargo/src/lib.rs	866	FileSetConfigBuilder::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/mbe/src/benchmark.rs	172	tt::Leaf::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/mbe/src/expander/matcher.rs	223	Vec::new	-norow-	0	1 method site, still no receiver row (macro-expanded span)
crates/mbe/src/expander/matcher.rs	281	Vec::new	-norow-	0	1 method site, still no receiver row (macro-expanded span)
