UpdateBlock	direct	1	n	958:return c.Factory.UpdateBlock( || 965:return c.Factory.UpdateBlock( || 989:return c.Factory.UpdateBlock(updated.AsBlock(), statementsList, updated.AsBlock().MultiLine)
UseCaseSensitiveFileNames	direct	19	n	112:excludeMatcher := vfsmatch.NewSpecMatcher(c.validatedExcludeSpecs, comparePathsOptions.CurrentDirectory, vfsma || 132:includeMatcher := vfsmatch.NewSpecMatcher([]string{spec}, comparePathsOptions.CurrentDirectory, vfsmatch.Usage || 144:filePath := tspath.ToPath(fileName, comparePathsOptions.CurrentDirectory, comparePathsOptions.UseCaseSensitive
IsDeclarationVisible	direct	1	n	2452:if !tx.resolver.IsDeclarationVisible(decl.AsNode()) { || 2491:if decl.ImportClause != nil && decl.ImportClause.Name() != nil && tx.resolver.IsDeclarationVisible(decl.Import || 2515:if tx.resolver.IsDeclarationVisible(decl.ImportClause.AsImportClause().NamedBindings) {
Writer	direct	3	n	16:fmt.Fprintln(sys.Writer(), diagnostics.Version_0.Localize(locale, core.Version())) || 106:fmt.Fprint(sys.Writer(), chunk) || 131:fmt.Fprint(sys.Writer(), chunk)
ReportNonlocalAugmentation	direct	3	n	90:func (this *SymbolTrackerImpl) ReportNonlocalAugmentation(containingFile *ast.SourceFile, parentSymbol *ast.Sy || 95:this.inner.ReportNonlocalAugmentation(containingFile, parentSymbol, augmentingSymbol)
cancelScheduledSnapshotUpdate	direct	1	n	381:s.cancelScheduledSnapshotUpdate() || 409:s.cancelScheduledSnapshotUpdate() || 702:func (s *Session) cancelScheduledSnapshotUpdate() {
Text	direct	12	y	112:if strings.LastIndexByte(sourceFile.Text(), '<') == -1 { || 247:return node.Text() == "this" && node.Parent.Kind == ast.KindParameter || 998:return checker.GetPropertyOfType(typeOfPattern, bindingElement.Name().Text())
IsIndexSignatureDeclaration	direct	0	n	3617:!ast.IsIndexSignatureDeclaration(node.Parent) {
Remove	direct	12	n	116:func (fsys *FS) Remove(path string) error { || 117:return fsys.fs.Remove(path)
NewSession$1	closure	0	n	
