budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
roomy	10	400	10	pg_ivm	insert_batch	3	10	10	20	245	1.088375	1.076750	1.092875	0.702625	0.645000	0.753875	1.795500	1.721750	1.842250	0.284208	0.069000
roomy	10	400	10	pg_ivm	update_batch	3	10	10	20	245	0.923458	0.894583	1.085167	0.588625	0.527416	0.729334	1.652792	1.421999	1.673792	0.208291	0.046291
roomy	10	400	10	query	delete_batch	3	10	10	20	245	0.245458	0.230625	0.266000	0.680250	0.660417	0.726250	0.946250	0.891042	0.971708	0.179500	0.049417
roomy	10	400	10	query	dimension_fanout	3	1	10	20	246	0.209834	0.205750	0.218167	0.821542	0.800000	0.845084	1.031376	1.005750	1.063251	0.226750	0.046000
roomy	10	400	10	query	initial	3	0	0	20	241	0.000000	0.000000	0.000000	0.904875	0.867625	1.195166	0.904875	0.867625	1.195166	0.305458	0.211458
roomy	10	400	10	query	insert_batch	3	10	10	20	245	0.575500	0.560500	0.627208	0.831625	0.756917	0.975500	1.458833	1.332417	1.536000	0.223292	0.063792
roomy	10	400	10	query	update_batch	3	10	10	20	245	0.536791	0.363667	0.560500	0.703500	0.701125	0.968458	1.264000	1.237916	1.332125	0.195083	0.036167
roomy	10	12000	10	pg_ivm	delete_batch	3	10	10	110	1605	0.893917	0.789875	1.151083	0.640792	0.611250	0.646000	1.505167	1.435875	1.791875	0.359416	0.091583
roomy	10	12000	10	pg_ivm	dimension_fanout	3	1	10	110	1607	0.795750	0.752542	0.798292	0.789375	0.698917	0.899291	1.585125	1.451459	1.697583	0.326333	0.117333
roomy	10	12000	10	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.965750	0.880833	1.077458	0.965750	0.880833	1.077458	0.618584	0.261834
roomy	10	12000	10	pg_ivm	insert_batch	3	10	10	110	1605	1.130209	0.989833	1.179375	0.797875	0.652833	0.895000	1.832208	1.787708	2.025209	0.557500	0.087083
roomy	10	12000	10	pg_ivm	update_batch	3	10	10	110	1606	1.187417	1.104875	1.485875	0.778334	0.717167	0.850875	1.904584	1.883209	2.336750	0.385167	0.084541
roomy	10	12000	10	query	delete_batch	3	10	10	110	1605	0.438916	0.230291	0.471834	3.360041	2.373167	4.259416	3.831875	2.603458	4.698332	0.438334	0.103375
